City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,lata,40.1629,-8.3327,289.42,52,7,0.21,PT,1681025729
233,kralendijk,12.15,-68.2667,299.14,78,20,6.69,BQ,1681025729
234,la palma,33.8464,-118.0467,288.76,90,40,2.06,US,1681025480
235,playas,-2.6333,-80.3833,299.06,83,99,1.41,EC,1681025730
236,riyadh,24.6877,46.7219,301.23,14,0,3.41,SA,1681025624
237,silchar,24.8167,92.8,309.78,16,0,3.51,IN,1681025730
238,mehamn,71.0357,27.8492,276.12,70,100,4.63,NO,1681025731
239,talnakh,69.4865,88.3972,254.14,85,37,0.6,RU,1681025732
240,kieta,-6.2167,155.6333,299.25,85,100,1.6,PG,1681025732
241,abdanan,32.9926,47.4198,297.81,19,2,1.02,IR,1681025732
242,bandarbeyla,9.4942,50.8122,302.53,68,5,6.09,SO,1681025733
243,abu samrah,35.3029,37.1841,295.21,25,100,7.08,SY,1681025733
244,bojnurd,37.4747,57.329,289.12,55,0,6.17,IR,1681025734
245,zuwarah,32.9312,12.082,288.82,66,0,2.09,LY,1681025734
246,hasaki,35.7333,140.8333,291.09,35,0,3.82,JP,1681025734
247,ozernovskiy,51.5,156.5167,275.32,95,100,5.17,RU,1681025734
248,clarence town,-32.5833,151.7833,293.1,42,1,3.49,AU,1681025735
249,mehran,33.1222,46.1646,303.88,13,6,3.46,IR,1681025735
250,kutum,14.2,24.6667,303.54,6,100,3.25,SD,1681025735
251,high level,58.5169,-117.136,275.21,69,0,1.03,CA,1681025707
252,nerchinskiy zavod,51.3088,119.61,277.15,44,89,4.47,RU,1681025736
253,santa fe,-31.6333,-60.7,289.23,96,0,2.48,AR,1681025696
254,pemagatsel,27.0319,91.4266,295.68,34,85,2.68,BT,1681025736
255,honningsvag,70.9821,25.9704,276.01,75,100,5.66,NO,1681025737
256,torbat-e jam,35.244,60.6225,301.33,9,90,7.19,IR,1681025737
257,boa vista,2.8197,-60.6733,299.14,65,0,2.06,BR,1681025737
258,mudgee,-32.5943,149.5871,288.59,48,2,4.38,AU,1681025738
259,namibe,-15.1961,12.1522,298.67,75,100,1.52,AO,1681025738
260,avera,33.194,-82.5271,280.18,94,100,6.73,US,1681025738
261,bafoulabe,13.8065,-10.8321,305.32,36,95,1.36,ML,1681025738
262,mora,11.0461,14.1401,309.42,18,100,1.76,CM,1681025738
263,pemba,-12.974,40.5178,302.54,70,40,2.57,MZ,1681025739
